audit_id,audit_batch_id,release_version,audited_at,reviewer,audit_method,audit_decision,audit_confidence,audit_tags,audit_note,stratum,edge_id,subject_id,subject_name,subject_category,predicate,qualified_predicate,object_id,object_name,object_category,evidence_count,edge_confidence_score,source_xref,supporting_document_year,supporting_text_section_type,study_result_id,extraction_confidence_score,subject_mention,object_mention,subject_mention_match,object_mention_match,supporting_text
tmkp-2026-04-21-edge-audit-batch-001-0011,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,adverse_or_risk_context|list_or_cross_product_context|mention_mismatch|short_mention_risk,short mention has low lexical agreement with normalized node; mention text has weak lexical agreement with normalized label; evidence looks like a list context that may cross-product entities,chemical_disease_contributes,urn:uuid:968956ec-8ab6-4421-b985-8a39088d68fc,CHEBI:28842,Stearic acid,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0007931,vitelliform macular dystrophy 2,biolink:Disease,1,0.750158,PMC6874435,2019,RESULTS,tmkp:31977eda67bfaa64b361c14b79fc0b32e9d1e9cbe663e6525815be01e41486a8,0.750158,C18:0,BMD,false,false,"After adjustment for sex, age, BMI, smoking status, alcohol intake, 25-OH-D3, and diabetes, plasma C18:0 and C24:1 ceramides were inversely associated with BMD values at the lumbar spine and total femur, respectively."
tmkp-2026-04-21-edge-audit-batch-001-0012,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context|model_or_assay_context|treatment_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:d1a24318-5e2a-4acc-8816-4a610294a1b8,CHEBI:36706,Resiquimod,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0005267,heart disorder,biolink:Disease,4,0.585269,PMC5374321,2017,ABSTRACT,tmkp:65f658e1e7d5fcc474823e3f35acb81199bf8e2ae1c6ac678f95a2d7f2df9606,0.585283,Resiquimod,heart disease,true,true,Resiquimod-induced heart disease is a highly relevant mouse model for mechanistic and therapeutic studies aiming to protect the heart during autoimmunity.
tmkp-2026-04-21-edge-audit-batch-001-0013,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,mention_mismatch|treatment_context,mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:a844dc80-7c8b-446f-a2d9-58ec1ac47a28,DRUGBANK:DB10675,Licorice,biolink:ChemicalEntity,biolink:contributes_to,,MONDO:0016383,nephrogenic diabetes insipidus,biolink:Disease,4,0.954662,PMID:25859357,2014,title,tmkp:3b642659f0f62c4250d01365baa037dd0d388194ce2c8122ce799244e05b49f0,0.954662,liquorice,nephrogenic diabetes insipidus,false,true,"Low-dose liquorice ingestion resulting in severe hypokalaemic paraparesis, rhabdomyolysis and nephrogenic diabetes insipidus."
tmkp-2026-04-21-edge-audit-batch-001-0014,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,mention_mismatch|model_or_assay_context|short_mention_risk,short mention has low lexical agreement with normalized node; mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:51527999-a1d7-42d6-a1d4-c769802933ea,CHEBI:15647,Leukotriene B4,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0005113,bacterial infectious disease,biolink:Disease,1,0.580875,PMID:2557289,1989,abstract,tmkp:27bbd108d0e96c62f7378fff8fffa07a78a00e088bcb8a51d6c58b98a89b7a81,0.580875,LTB4,bacterial infection,false,true,"In contrast, in beige mice, an experimental model of the Ch?diak-Higashi syndrome that is characterized by susceptibility to bacterial infection, there was no induction of the eliminating effect by intraperitoneal injection of LTB4."
tmkp-2026-04-21-edge-audit-batch-001-0015,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,adverse_or_risk_context|mention_mismatch|treatment_context,mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:1eeb31f5-276f-4cad-b6ed-de647140766e,CHEBI:27300,Ergocalciferol,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0001650,acute cystitis,biolink:Disease,6,0.68538,PMID:17172078,2006,abstract,tmkp:5ecd23a3af64c8142f78917692b18893331c6536364eaf676a991cc652024a64,0.686623,vitamin D,urinary tract infection,false,false,"During the treatment of vitamin D intoxication (alendronate, 5 mg/day), he developed urinary tract infection and septic arthritis of the left hip joint."
tmkp-2026-04-21-edge-audit-batch-001-0016,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context|model_or_assay_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:89b02283-29c7-4671-8e91-2744d1f06e74,CHEBI:16842,Formaldehyde,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0001672,bronchus cancer,biolink:Disease,2,0.688249,PMID:7125032,1982,abstract,tmkp:e196c52252aa7d49a7b479865cf3282a767660909654020e5ca702986ce623c7,0.695465,formaldehyde,bronchial cancer,true,true,"More than half the irritant is associated with the particulate phase of the smoke, permitting deposition throughout the entire respiratory tract and raising the issue of whether formaldehyde in smoke is associated with bronchial cancer."
tmkp-2026-04-21-edge-audit-batch-001-0017,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,adverse_or_risk_context|mention_mismatch|model_or_assay_context,mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:07c33f03-86da-4883-9e2a-b1af463f271a,DRUGBANK:DB10629,Blueberry,biolink:ChemicalEntity,biolink:contributes_to,,MONDO:0005283,retinal disease,biolink:Disease,12,0.671416,PMID:22832077,2013,abstract,tmkp:a4a471ecaa55c1ee364d0d1fe9570df48fce081f9ca8fb3e248ce91762bae967,0.674949,blueberry,retinopathy,true,false,This study investigates the impact of a blueberry-enriched diet as neuroprotectant in a rat model of light-induced retinopathy.
tmkp-2026-04-21-edge-audit-batch-001-0018,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,adverse_or_risk_context|generic_object|mention_mismatch|model_or_assay_context,mention text has weak lexical agreement with normalized label; object label is generic or low-specificity,chemical_disease_contributes,urn:uuid:50dc5384-04eb-404a-aa36-7f3f9f9c95ae,CHEBI:16134,Ammonia,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0004992,cancer,biolink:Disease,26,0.243386,PMC7009818,2017,METHODS,tmkp:9a9ee73296067b3f44207d607a03a9760212b0e20eb00cdfb22e49bbafbd1349,0.246323,ammonia,malignant,true,false,"The administration of ammonia induced an increase in the incidence and number of malignant lesions in the glandular stomach when compared to water controls (Tsujii et?al., 1992, 1995)."
tmkp-2026-04-21-edge-audit-batch-001-0019,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,model_or_assay_context|negation_or_hedging,evidence contains negation or hedging language; negation or hedging requires manual confirmation,chemical_disease_contributes,urn:uuid:87c8b4f8-5c0d-4abe-b281-690748f083c3,CHEBI:7577,Nisoldipine,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0024644,myocardial ischemia,biolink:Disease,1,0.796471,PMID:8742913,1996,abstract,tmkp:d6c65ff3f6c2aa0aa9c333352aee0d21e3430e1227716f46d6da0eabc4758700,0.796471,nisoldipine,myocardial ischemia,true,true,All patients had a positive electrically and clinically stress test and all of the eight patients did not developed ECG signs of myocardial ischemia after nisoldipine administration.
tmkp-2026-04-21-edge-audit-batch-001-0020,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,mention_mismatch,mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:8def6f16-5e81-45b2-95e2-c171ca562e96,CHEBI:22652,Ascorbic acid,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0001684,exocrine pancreatic insufficiency,biolink:Disease,2,0.739239,PMID:31748360,2019,abstract,tmkp:15a824a65b56cb5d3b4f3ea5735c257611ebd99b02f5d73ffbac90688ca5bc7d,0.739966,vitamin C,exocrine pancreatic insufficiency,false,true,"There are several known causes for acute oxalate nephropathy; however, the combination of exocrine pancreatic insufficiency with overconsumption of vitamin C has not been described before."
tmkp-2026-04-21-edge-audit-batch-001-0021,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context|treatment_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:1f2bb6dc-6530-4ad8-b5fb-231995d22758,CHEBI:17594,Hydroquinone,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0008753,alkaptonuria,biolink:Disease,1,0.9194,PMC4001351,2014,INTRO,tmkp:fc35e04e2d07149ee8128f6b4870c45ca5692392e8be729e2a6703c8188ce2a9,0.9194,hydroquinone,alkaptonuria,true,true,"Ochronosis is caused by accumulation of homogentisic acid in the connective tissues, and is of two types: endogenous ochronosis or alkaptonuria that is an inherited disease and EO caused by prolonged topical therapy with hydroquinone (HQ)."
tmkp-2026-04-21-edge-audit-batch-001-0022,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,low,treatment_context,evidence has co-mentions but no high-confidence audit rule fired,chemical_disease_contributes,urn:uuid:97b80db3-fa07-49d5-b280-9992cb73750e,CHEBI:8802,Remifentanil,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0005249,pneumonia,biolink:Disease,1,0.666442,PMC7724121,2020,CASE,tmkp:fe7f47748e8d4ef120a7429ee9e1f169af804d8aefca1cbfe799ad79a70b3c73,0.666442,remifentanil,pneumonia,true,true,"The patient was on a continuous infusion of remifentanil for sedation and intravenous antibiotics, such as tazobactam and piperacillin, to treat the pneumonia."
tmkp-2026-04-21-edge-audit-batch-001-0023,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,low,biomarker_or_expression_context|treatment_context,"evidence supports expression/biomarker context, not necessarily causality",chemical_disease_contributes,urn:uuid:be4c4f23-70f2-462f-bf44-8c7d38da4f9e,CHEBI:9667,Triamcinolone,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0011122,obesity,biolink:Disease,2,0.589209,PMID:3344190,1988,abstract,tmkp:e32e9239d3d42622ab05833e3126c91a1c890df986e28c3b6467304a64621aae,0.590395,triamcinolone,obesity,true,true,"Cessation of inhaled triamcinolone acetonide therapy resulted in resolution of obesity and hirsutism, resumption of normal growth, and a return to normal of serum cortisol levels and urinary 17-hydroxycorticosteroid excretion."
tmkp-2026-04-21-edge-audit-batch-001-0024,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,generic_object|negation_or_hedging,object label is generic or low-specificity; evidence contains negation or hedging language; negation or hedging requires manual confirmation,chemical_disease_contributes,urn:uuid:3d47fba8-103a-47a9-bab9-a10f68c0aa3f,CHEBI:8452,Proflavine,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0004992,cancer,biolink:Disease,3,0.309264,PMID:29981148,2018,abstract,tmkp:5b73516a6beab762a3c587cd0a269e16f8dadafccf746351fbd4b2d882f376a6,0.308765,proflavine,cancer,true,true,There were no significant differences in disease progression from normal/CIN1 to CIN2/3 or from any initial diagnosis to invasive cancer between the proflavine exposed and control groups overall.
tmkp-2026-04-21-edge-audit-batch-001-0025,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,low,list_or_cross_product_context,evidence looks like a list context that may cross-product entities; evidence has co-mentions but no high-confidence audit rule fired,chemical_disease_contributes,urn:uuid:5920ee11-3541-42b9-a193-19a6f9f36645,CHEBI:48080,Brefeldin A,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0021063,colon cancer,biolink:Disease,1,0.677625,PMC5970196,2018,DISCUSS,tmkp:28edc8845940b68df9eac9db6771d0d34a95697fab908e92ce9b88f307b058dc,0.677625,Brefeldin A,colon cancer,true,true,"Brefeldin A, which causes an accumulation of trapped secretory proteins in the ER, could also induce apoptosis in several malignancies such as leukemia, colon cancer, prostatic adenocarcinoma, and melanoma."
tmkp-2026-04-21-edge-audit-batch-001-0026,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,low,,evidence has co-mentions but no high-confidence audit rule fired,chemical_disease_contributes,urn:uuid:2d307b3b-01d8-41dd-9392-f5a8bf432de2,CHEBI:24621,hormone,biolink:ChemicalEntity,biolink:contributes_to,,MONDO:0005397,goiter,biolink:Disease,6,0.44504,PMID:2083579,1990,abstract,tmkp:c1f09f6bee59bafc2ddabe13c5617455b6747b7f2341a23414acc9634492f884,0.459908,hormones,goiter,true,true,It should be taken into account that goiter disease depends upon the female sexual hormones.
tmkp-2026-04-21-edge-audit-batch-001-0027,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,low,model_or_assay_context,evidence appears model or assay based,chemical_disease_contributes,urn:uuid:b92c2412-c4a1-4404-9070-3207f7bb2054,CHEBI:22986,calcium ionophore,biolink:ChemicalEntity,biolink:contributes_to,,MONDO:0019458,acute basophilic leukemia,biolink:Disease,23,0.875041,PMID:7797525,1995,title,tmkp:19d7b474ccb8445ad43cb6c3ea9776cbded525df140a110d37b705b6c42a71bc,0.875041,calcium ionophore,basophilic leukemia,true,true,Translocation of the 85-kDa phospholipase A2 from cytosol to the nuclear envelope in rat basophilic leukemia cells stimulated with calcium ionophore or IgE/antigen.
tmkp-2026-04-21-edge-audit-batch-001-0028,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,adverse_or_risk_context|mention_mismatch|model_or_assay_context|short_mention_risk,short mention has low lexical agreement with normalized node; mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:1394cd03-5ae8-4c76-a322-d112e930b88a,CHEBI:6827,Meticillin,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0015540,hemophagocytic syndrome,biolink:Disease,1,0.705361,PMID:16595999,2006,abstract,tmkp:e2beb01b8bed1857cc0be4d022534464824e2b9ac63b02f9fb509946d18a9319,0.705361,methicillin,HPS,false,false,He was diagnosed as having secondary hemophagocytosis (HPS) associated with methicillin-sensitive Staphylococcus aureus sepsis due to decubitus inflammation based on bone marrow aspiration and a blood culture.
tmkp-2026-04-21-edge-audit-batch-001-0029,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,cohort_or_exposure_context|mention_mismatch|short_mention_risk|treatment_context,short mention has low lexical agreement with normalized node; mention text has weak lexical agreement with normalized label,chemical_disease_contributes,urn:uuid:0db77cda-28cd-4e0f-b155-cd59e0979e2d,CHEBI:95044,Tosedostat,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0016584,mandibuloacral dysplasia,biolink:Disease,1,1.110479,PMID:20733120,2010,abstract,tmkp:4bb7d32288b3ca3cb710b93885165ed04b399df560f0498b7a85c8cb7c6080bf,1.110479,tosedostat,MAD,true,false,"In phase II, the therapeutic activity of the maximum-acceptable dose (MAD) of tosedostat was evaluated in elderly and/or relapsing patients with acute myeloid leukemia (AML) or myelodysplastic syndrome."
tmkp-2026-04-21-edge-audit-batch-001-0030,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:97e2c9d6-7175-4678-8287-06cabd45136f,CHEBI:4551,Digoxin,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0005575,colorectal cancer,biolink:Disease,6,0.569811,PMID:25263572,2014,abstract,tmkp:8460f03e04111d0cc64152120d13db1bb84b4cfd5c71c4cdc3b52a48f50581a2,0.569871,digoxin,colorectal cancer,true,true,We sought to evaluate the association between digoxin use and colorectal cancer (CRC) risk.
tmkp-2026-04-21-edge-audit-batch-001-0031,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context|treatment_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:17733c76-eaa4-4494-944f-d33d17aa3157,CHEBI:134689,Rucaparib,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0006517,childhood malignant neoplasm,biolink:Disease,1,0.690435,PMC5754410,2017,METHODS,tmkp:cd8191e97fe81f536340aec990d91f68df2175273875caf71a118772317be93e,0.690435,rucaparib,malignant neoplasm,true,true,"The most common grade 3 adverse reactions to rucaparib in the ARIEL2 trial included anemia or low hemoglobin (22%), elevated alanine aminotransferase or aspartate aminotransferase (12%), small intestine obstruction (5%), malignant neoplasm progression (5%)."
tmkp-2026-04-21-edge-audit-batch-001-0032,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,partially_supported,medium,adverse_or_risk_context,risk/adverse language matches broad contributes_to semantics,chemical_disease_contributes,urn:uuid:08ac0a78-4bd9-44ff-a25b-0d027b2c8fb3,CHEBI:17698,Chloramphenicol,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0018078,soft tissue sarcoma,biolink:Disease,1,0.600381,PMID:2773915,1989,abstract,tmkp:5c8acc780e9604e2659e15af2c24d809b120c39e939b00828202fc49148794da,0.600381,chloramphenicol,soft-tissue sarcoma,true,true,"Many of the associations observed in this study, notably the risk of soft-tissue sarcoma with smokeless tobacco and medications such as chloramphenicol, deserve further evaluation."
tmkp-2026-04-21-edge-audit-batch-001-0033,tmkp-2026-04-21-edge-audit-batch-001,2026_04_21,2026-05-04,codex,assistant_structured_evidence_review_v1,needs_review,medium,mention_mismatch|negation_or_hedging|short_mention_risk|treatment_context,short mention has low lexical agreement with normalized node; mention text has weak lexical agreement with normalized label; evidence contains negation or hedging language,chemical_disease_contributes,urn:uuid:4153d176-5c03-4156-9c0c-02dd42814c9b,UNII:Z633861EIM,Asfotase alfa,biolink:SmallMolecule,biolink:contributes_to,,MONDO:0007931,vitelliform macular dystrophy 2,biolink:Disease,1,0.897591,PMC7783131,2021,DISCUSS,tmkp:82aec6a236cd0507fcef3e72c80c0261ef9e8e1e7dc9181da8cd4ead044ac10d,0.897591,asfotase alfa,BMD,true,false,BMD did not change after the treatment with asfotase alfa in the current case.
